Boro,NTA,NTA Name,Total Population,Males Over 18,Females Over 18,Total Population Over 18,Total Population Over 18 Poverty Status,Total Population Over 18 Under 100% Poverty Level,Total Population Over 18 Under 200% Poverty Level,Total Registered Voters,Total Female Registered Voters,Total Male Registered Voters,Percent Registered Voters,Percent Female Registered Voters,Percent Male Registered Voters,Percent Population Over 18 Under 100% Poverty Level,Percent Population Over 18 Under 200% Poverty Level
Brooklyn,BK09,Brooklyn Heights-Cobble Hill,24168,9653,10889,20542,18758,1667,2704,16953,9259,7652,82.52847824,85.03076499,79.27069305,8.886874933,14.41518286
Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,65631,25186,28397,53583,53149,7605,16176,35968,20134,15794,67.1257675,70.90185583,62.70944175,14.30882989,30.43519163
Brooklyn,BK19,Brighton Beach,34431,12416,15385,27801,27488,7375,12740,16739,9308,7399,60.21006439,60.50048749,59.59246134,26.82988941,46.34749709
Brooklyn,BK21,Seagate-Coney Island,32259,10481,13824,24305,23538,7878,14372,17083,10204,6846,70.28594939,73.81365741,65.31819483,33.46928371,61.05871357
Brooklyn,BK23,West Brighton,16774,6777,8239,15016,15016,2200,5210,11176,6301,4864,74.42727757,76.47772788,71.77217058,14.65103889,34.69632392
Brooklyn,BK25,Homecrest,45007,15484,17143,32627,32600,5482,12180,19368,10238,9103,59.3618782,59.72116899,58.78971842,16.81595092,37.36196319
Brooklyn,BK26,Gravesend,30587,11079,13106,24185,24185,4560,10165,15140,8604,6509,62.60078561,65.64932092,58.75078978,18.85466198,42.030184
Brooklyn,BK27,Bath Beach,33020,12243,13146,25389,25186,3769,8444,13650,7451,6179,53.76344086,56.67883767,50.46965613,14.96466291,33.52656238
Brooklyn,BK28,Bensonhurst West,90847,35304,36556,71860,71575,11953,29176,36594,20097,16426,50.92401893,54.97592734,46.52730569,16.69996507,40.76283619
Brooklyn,BK29,Bensonhurst East,65502,24631,27207,51838,51816,9600,20111,26795,14812,11933,51.68988001,54.44187158,48.44707888,18.52709588,38.81233596
Brooklyn,BK30,Dyker Heights,43888,16898,17927,34825,34686,6004,13661,20046,11041,8974,57.5620962,61.58866514,53.10687655,17.30957735,39.38476619
Brooklyn,BK31,Bay Ridge,79187,30885,33223,64108,63923,8929,17515,46712,25561,21069,72.86454109,76.93766367,68.21758135,13.96836819,27.40015331
Brooklyn,BK32,Sunset Park West,54667,22316,20285,42601,40449,9237,19129,23728,12850,10809,55.69822305,63.34730096,48.43609966,22.83616406,47.29165122
Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,43766,15691,18340,34031,33600,4671,8308,27785,15481,12243,81.64614616,84.41112323,78.02561978,13.90178571,24.72619048
Brooklyn,BK34,Sunset Park East,66348,24048,25100,49148,49148,13824,27852,24855,13745,11053,50.57174249,54.76095618,45.96224218,28.127289,56.66965085
Brooklyn,BK35,Stuyvesant Heights,69260,25236,29981,55217,55107,13107,22221,41983,24140,17749,76.03274354,80.51766119,70.3320653,23.78463716,40.3233709
Brooklyn,BK37,Park Slope-Gowanus,74731,27852,31460,59312,59177,4949,9166,49221,26984,22150,82.98657944,85.77240941,79.52750251,8.363046454,15.48912584
Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,45607,17242,19779,37021,36541,7311,11370,29339,16058,13212,79.24961508,81.18711765,76.62684143,20.00766263,31.11573301
Brooklyn,BK40,Windsor Terrace,22832,8053,9535,17588,17573,1325,2818,15108,8314,6762,85.89947692,87.19454641,83.96870731,7.5399761,16.03596426
Brooklyn,BK41,Kensington-Ocean Parkway,35510,13106,12821,25927,25723,4562,10212,18987,10076,8880,73.23253751,78.58981359,67.75522661,17.73510088,39.69987949
Brooklyn,BK42,Flatbush,106883,37096,44733,81829,81605,14214,31655,60648,34967,25566,74.11553361,78.16824268,68.91848178,17.41805036,38.79051529
Brooklyn,BK43,Midwood,54637,18244,20882,39126,38893,7796,14524,28490,15404,13039,72.81603026,73.76688057,71.47007235,20.04473813,37.34348083
Brooklyn,BK44,Madison,40958,15648,16443,32091,32082,4207,9284,20195,10978,9189,62.93041663,66.76397251,58.72315951,13.11327224,28.93834549
Brooklyn,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,47726,17324,18938,36262,36257,2161,6971,25960,14243,11692,71.59009431,75.20857535,67.49018702,5.96022837,19.2266321
Brooklyn,BK46,Ocean Parkway South,20684,6640,7358,13998,13998,2832,5285,9915,5270,4631,70.83154736,71.62272357,69.7439759,20.23146164,37.75539363
Brooklyn,BK50,Canarsie,88522,28517,39603,68120,67633,7836,17034,50016,30277,19675,73.42337052,76.45127894,68.99393344,11.58606006,25.18592995
Brooklyn,BK58,Flatlands,72186,24921,30406,55327,55299,4773,12612,40753,24056,16648,73.65843078,79.11596395,66.80309779,8.631259155,22.80692237
Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,69111,23771,31000,54771,53521,10075,20100,41835,24708,17032,76.38166183,79.70322581,71.65033023,18.82438669,37.5553521
Brooklyn,BK61,Crown Heights North,109987,39047,49133,88180,87364,20793,36730,67588,39833,27617,76.64776593,81.07178475,70.72758471,23.80042123,42.0424889
Brooklyn,BK63,Crown Heights South,40451,14632,16733,31365,31047,5040,12109,24944,14318,10561,79.52813646,85.56744158,72.17741935,16.23345251,39.00215802
Brooklyn,BK64,Prospect Heights,21237,8424,9249,17673,17673,1996,3506,16088,8996,7060,91.031517,97.26456914,83.80816714,11.29406439,19.83817122
Brooklyn,BK68,Fort Greene,32193,11773,14371,26144,24867,5106,8963,19699,11241,8428,75.34807222,78.22002644,71.58753079,20.53323682,36.04375276
Brooklyn,BK69,Clinton Hill,38930,14002,17967,31969,30504,4575,7615,26426,14794,11543,82.66132816,82.33984527,82.43822311,14.99803304,24.96393916
Brooklyn,BK72,Williamsburg,34373,8788,8796,17584,17398,8254,12500,15346,7903,7430,87.27252047,89.84765803,84.5471097,47.44223474,71.84733877
Brooklyn,BK73,North Side-South Side,57036,23341,23285,46626,46623,7312,13687,35467,18513,16860,76.06700124,79.50611982,72.23340902,15.68324647,29.35675525
Brooklyn,BK75,Bedford,77847,24751,29861,54612,54396,15048,25651,42371,23467,18789,77.58551234,78.58745521,75.91208436,27.66379881,47.15604089
Brooklyn,BK76,Greenpoint,33918,14845,15419,30264,30264,3318,7053,21916,11506,10352,72.4160719,74.62221934,69.73391714,10.96352102,23.30491673
Brooklyn,BK77,Bushwick North,57051,23222,21991,45213,45213,11513,20702,27955,14903,12967,61.82956229,67.76863262,55.83929033,25.46391525,45.78771592
Brooklyn,BK78,Bushwick South,72925,27595,30465,58060,57778,15026,27609,45092,24755,20207,77.66448502,81.25718037,73.22703388,26.00643844,47.78462391
Brooklyn,BK79,Ocean Hill,35818,12092,14192,26284,26258,6387,12303,19558,11468,8052,74.41028763,80.80608794,66.58948065,24.32401554,46.85429203
Brooklyn,BK81,Brownsville,52174,15306,24961,40267,40252,16817,25871,35680,22127,13506,88.60853801,88.64628821,88.23990592,41.77929047,64.27258273
Brooklyn,BK82,East New York,96755,30363,40067,70430,69920,18612,33410,54613,32162,22362,77.54224052,80.27054683,73.64884893,26.61899314,47.78318078
Brooklyn,BK83,Cypress Hills-City Line,49063,17488,19363,36851,36816,7751,15517,25308,14044,11212,68.67656237,72.53008315,64.11253431,21.05334637,42.1474359
Brooklyn,BK85,East New York (Pennsylvania Ave),29063,8887,13067,21954,21954,6192,10702,16547,9899,6617,75.37123076,75.75572052,74.45707213,28.20442744,48.74738089
Brooklyn,BK88,Borough Park,102494,30345,30013,60358,59751,18365,33363,41449,21151,20235,68.67192419,70.47279512,66.68314385,30.73588727,55.8367224
Brooklyn,BK90,East Williamsburg,36038,14624,16739,31363,31363,6218,10836,23347,12780,10487,74.44122055,76.34864687,71.71088621,19.82590951,34.55026624
Brooklyn,BK91,East Flatbush-Farragut,51922,17320,23573,40893,40869,4889,12180,31971,19197,12731,78.18208495,81.43638909,73.50461894,11.96261225,29.80253982
Brooklyn,BK93,Starrett City,12956,3794,6546,10340,10318,3085,5523,9820,6395,3408,94.97098646,97.69324778,89.82604112,29.89920527,53.52781547
Brooklyn,BK95,Erasmus,28689,9502,12655,22157,21902,3351,7205,16744,9937,6776,75.56979736,78.52232319,71.31130288,15.29997261,32.89653913
Brooklyn,BK96,Rugby-Remsen Village,54666,18506,25070,43576,43005,6810,14231,31334,18841,12436,71.90655407,75.15357,67.19982708,15.83536798,33.09150099
Brooklyn,BK99,park-cemetery-etc-Brooklyn,432,215,162,377,377,22,95,362,179,182,96.02122016,110.4938272,84.65116279,5.835543767,25.19893899
Bronx,BX01,Claremont-Bathgate,35560,10530,13252,23782,23546,9785,16753,17130,10008,6965,72.02926583,75.52067612,66.14434948,41.55695235,71.15008919
Bronx,BX03,Eastchester-Edenwald-Baychester,37887,13007,16456,29463,29220,4368,9837,18968,11441,7398,64.37905169,69.52479339,56.8770662,14.9486653,33.66529774
Bronx,BX05,Bedford Park-Fordham North,57685,20597,21981,42578,42575,12131,21577,24472,13957,10353,57.47569167,63.49574633,50.26460164,28.49324721,50.67997651
Bronx,BX06,Belmont,29115,9813,11726,21539,18776,7196,12830,9443,5429,3915,43.84140396,46.29882313,39.89605625,38.32552194,68.33191308
Bronx,BX07,Bronxdale,39423,14042,15696,29738,29280,7208,14637,17182,10071,6979,57.77792723,64.16284404,49.70089731,24.61748634,49.9897541
Bronx,BX08,West Farms-Bronx River,36014,12139,14160,26299,26294,8178,16063,16773,9511,7150,63.77809042,67.1680791,58.90106269,31.10215258,61.08998251
