STA,stationName,country,YR,MO,DA,PRCP,MAX,MIN
33206,Athens,Greece,44,11,26,0,67,50
33206,Athens,Greece,44,11,27,0,67,49
33206,Athens,Greece,44,11,28,0,66,52
33206,Athens,Greece,44,11,29,0,64,50
33206,Athens,Greece,44,11,30,,62,54
33206,Athens,Greece,44,12,1,0,63,54
33206,Athens,Greece,44,12,2,,59,51
33206,Athens,Greece,44,12,3,0,60,52
33206,Athens,Greece,44,12,4,0,60,44
33206,Athens,Greece,44,12,5,0,63,42
33206,Athens,Greece,44,12,6,0,64,50
33206,Athens,Greece,44,12,7,,64,49
33206,Athens,Greece,44,12,8,,62,51
33206,Athens,Greece,44,12,9,0,67,48
33206,Athens,Greece,44,12,10,,66,56
33206,Athens,Greece,44,12,11,0,62,49
33206,Athens,Greece,44,12,12,0,60,45
33206,Athens,Greece,44,12,13,T,60,42
33206,Athens,Greece,44,12,14,0.34,58,50
33206,Athens,Greece,44,12,15,0.03,57,47
33206,Athens,Greece,44,12,16,0,57,48
33206,Athens,Greece,44,12,17,0,62,47
33206,Athens,Greece,44,12,18,0,56,45
33206,Athens,Greece,44,12,19,0,55,48
33206,Athens,Greece,44,12,20,0.02,52,45
33206,Athens,Greece,44,12,21,0,53,39
33206,Athens,Greece,44,12,22,0.07,52,41
33206,Athens,Greece,44,12,23,0.11,52,45
33206,Athens,Greece,44,12,24,0.06,54,45
33206,Athens,Greece,44,12,25,0.01,47,40
33206,Athens,Greece,44,12,26,0.01,48,40
33206,Athens,Greece,44,12,27,0.01,47,39
33206,Athens,Greece,44,12,28,0,45,35
33206,Athens,Greece,44,12,29,T,51,33
33206,Athens,Greece,44,12,30,0.66,47,38
33206,Athens,Greece,44,12,31,0,48,39
33206,Athens,Greece,45,1,1,0.15,57,37
33206,Athens,Greece,45,1,2,0.34,47,38
33206,Athens,Greece,45,1,3,0.11,46,36
33206,Athens,Greece,45,1,4,0,47,38
33206,Athens,Greece,45,1,5,0,54,40
33206,Athens,Greece,45,1,6,0.48,57,48
33206,Athens,Greece,45,1,7,0.25,53,42
33206,Athens,Greece,45,1,8,0,55,41
33206,Athens,Greece,45,1,9,0,58,39
33206,Athens,Greece,45,1,10,0,57,45
33206,Athens,Greece,45,1,11,0.04,60,42
33206,Athens,Greece,45,1,12,0,55,39
33206,Athens,Greece,45,1,13,0,58,38
33206,Athens,Greece,45,1,14,0.27,50,42
33206,Athens,Greece,45,1,15,0.21,48,39
33206,Athens,Greece,45,1,16,0.08,52,35
33206,Athens,Greece,45,1,17,0.59,48,41
33206,Athens,Greece,45,1,18,0.04,49,40
33206,Athens,Greece,45,1,19,0.05,50,42
33206,Athens,Greece,45,1,20,0.03,55,40
33206,Athens,Greece,45,1,21,0,55,42
33206,Athens,Greece,45,1,22,T,59,39
33206,Athens,Greece,45,1,23,T,43,32
33206,Athens,Greece,45,1,24,0,46,28
33206,Athens,Greece,45,1,25,0,55,43
33206,Athens,Greece,45,1,26,0,62,39
33206,Athens,Greece,45,1,27,0.09,60,39
33206,Athens,Greece,45,1,28,0.05,60,41
33206,Athens,Greece,45,1,29,0.07,59,47
33206,Athens,Greece,45,1,30,0,47,33
33206,Athens,Greece,45,1,31,0,42,32
33206,Athens,Greece,45,3,1,0,61,38
33206,Athens,Greece,45,3,2,0,66,41
33206,Athens,Greece,45,3,3,0.13,57,44
33206,Athens,Greece,45,3,4,0.05,48,35
33206,Athens,Greece,45,3,5,T,48,34
33206,Athens,Greece,45,3,6,0,54,32
33206,Athens,Greece,45,3,7,T,54,38
33206,Athens,Greece,45,3,8,0.12,56,36
33206,Athens,Greece,45,3,9,T,47,38
33206,Athens,Greece,45,3,10,0,48,34
33206,Athens,Greece,45,3,11,0,58,33
33206,Athens,Greece,45,3,12,0,52,36
33206,Athens,Greece,45,3,13,0,60,33
33206,Athens,Greece,45,3,14,0,61,38
33206,Athens,Greece,45,3,15,0,64,40
33206,Athens,Greece,45,3,16,0,64,41
33206,Athens,Greece,45,3,17,0,67,43
33206,Athens,Greece,45,3,18,T,71,45
33206,Athens,Greece,45,3,19,0.05,59,48
33206,Athens,Greece,45,3,20,0,62,43
33206,Athens,Greece,45,3,21,0,60,39
33206,Athens,Greece,45,3,22,0,70,41
33206,Athens,Greece,45,3,23,T,63,42
33206,Athens,Greece,45,3,24,0,65,42
33206,Athens,Greece,45,3,25,0,68,42
33206,Athens,Greece,45,3,26,0,63,44
33206,Athens,Greece,45,3,27,0,63,42
33206,Athens,Greece,45,3,28,0,66,42
33206,Athens,Greece,45,3,29,0,65,46
33206,Athens,Greece,45,3,30,0,65,51
33206,Athens,Greece,45,3,31,0,70,51
33206,Athens,Greece,45,4,1,0,67,52
33206,Athens,Greece,45,4,2,0,67,57
33206,Athens,Greece,45,4,3,0,71,48
33206,Athens,Greece,45,4,4,0,73,46
33206,Athens,Greece,45,4,5,0,71,47
33206,Athens,Greece,45,4,6,0,68,50
33206,Athens,Greece,45,4,7,0,76,51
33206,Athens,Greece,45,4,8,0,70,53
33206,Athens,Greece,45,4,9,0,66,49
33206,Athens,Greece,45,4,10,T,67,49
33206,Athens,Greece,45,4,11,0,64,49
33206,Athens,Greece,45,4,12,0,68,46
33206,Athens,Greece,45,4,13,0,78,50
33206,Athens,Greece,45,4,14,T,75,55
33206,Athens,Greece,45,4,15,0.11,66,56
33206,Athens,Greece,45,4,16,0.31,59,46
33206,Athens,Greece,45,4,17,0,61,46
33206,Athens,Greece,45,4,18,0,70,39
33206,Athens,Greece,45,4,19,0,74,49
33206,Athens,Greece,45,4,20,0.19,67,49
33206,Athens,Greece,45,4,21,0,67,46
33206,Athens,Greece,45,4,22,0,69,47
33206,Athens,Greece,45,4,23,0,77,53
33206,Athens,Greece,45,4,24,0,76,48
33206,Athens,Greece,45,4,25,0,70,55
33206,Athens,Greece,45,4,26,0,70,48
33206,Athens,Greece,45,4,27,0,71,49
33206,Athens,Greece,45,4,28,T,70,53
33206,Athens,Greece,45,4,29,T,73,54
33206,Athens,Greece,45,4,30,0,77,57
33206,Athens,Greece,45,5,1,0,76,52
33206,Athens,Greece,45,5,2,T,76,53
33206,Athens,Greece,45,5,3,0,73,55
33206,Athens,Greece,45,5,4,0,79,53
33206,Athens,Greece,45,5,5,0,79,58
33206,Athens,Greece,45,5,6,0,76,60
33206,Athens,Greece,45,5,7,0,82,60
33206,Athens,Greece,45,5,8,0,85,63
33206,Athens,Greece,45,5,9,0,79,63
33206,Athens,Greece,45,5,10,0,76,62
33206,Athens,Greece,45,5,11,0,76,62
33206,Athens,Greece,45,5,12,0,82,61
33206,Athens,Greece,45,5,13,0,86,69
33206,Athens,Greece,45,5,14,0,87,69
33206,Athens,Greece,45,5,15,0,86,70
33206,Athens,Greece,45,5,16,0,88,71
33206,Athens,Greece,45,5,17,0,90,71
33206,Athens,Greece,45,5,18,0,90,66
33206,Athens,Greece,45,5,19,0,86,63
33206,Athens,Greece,45,5,20,0,89,64
33206,Athens,Greece,45,5,21,0.01,90,66
33206,Athens,Greece,45,5,22,0,89,65
33206,Athens,Greece,45,5,23,0,88,64
33206,Athens,Greece,45,5,24,0,104,65
33206,Athens,Greece,45,5,25,0,100,68
33206,Athens,Greece,45,5,26,0,97,67
33206,Athens,Greece,45,5,27,0,93,69
33206,Athens,Greece,45,5,28,0,93,72
33206,Athens,Greece,45,5,29,0,88,68
33206,Athens,Greece,45,5,30,0,84,68
33206,Athens,Greece,45,5,31,0,85,65
33206,Athens,Greece,45,6,1,T,84,68
33206,Athens,Greece,45,6,2,T,81,65
33206,Athens,Greece,45,6,3,0,82,63
33206,Athens,Greece,45,6,4,0,85,63
33206,Athens,Greece,45,6,5,0,83,63
33206,Athens,Greece,45,6,6,T,85,63
33206,Athens,Greece,45,6,7,0,92,63
33206,Athens,Greece,45,6,8,0,92,68
33206,Athens,Greece,45,6,9,0,86,72
33206,Athens,Greece,45,6,10,0,86,69
33206,Athens,Greece,45,6,11,0,90,66
33206,Athens,Greece,45,6,12,0,88,71
33206,Athens,Greece,45,6,13,0,87,69
33206,Athens,Greece,45,6,14,0,90,67
